date,open,high,low,close
2025-04-04 19:45:00,3030.13989,3040.91992,3030.11011,3037.92993
2025-04-04 19:50:00,3037.86011,3038.43994,3035.6001,3036.34009
2025-04-04 19:55:00,3036.36011,3038.1001,3035.86011,3036.48999
2025-04-04 20:00:00,3036.43994,3037.88989,3036.17993,3036.40991
2025-04-04 20:05:00,3036.42993,3037.23999,3033.91992,3036.73999
2025-04-04 20:10:00,3036.73999,3038.67993,3035.77002,3038.63989
2025-04-04 20:15:00,3038.6499,3040.91992,3037.87012,3038.07007
2025-04-04 20:20:00,3038.07007,3038.38989,3035.86011,3037.8999
2025-04-04 20:25:00,3037.92993,3039.41992,3036.95996,3038.1499
2025-04-04 20:30:00,3038.11011,3038.46997,3036.62012,3036.65991
2025-04-04 20:35:00,3036.65991,3038.27002,3036.53003,3036.90991
2025-04-04 20:40:00,3036.93994,3037.36011,3035.73999,3036.05005
2025-04-04 20:45:00,3036.06006,3038.21997,3035.84009,3038.13989
2025-04-04 20:50:00,3038.12988,3038.67993,3036.86011,3037.29004
2025-04-04 20:55:00,3037.28003,3040.04004,3036.84009,3037.42993
2025-04-04 21:55:00,3036.67993,3036.67993,3036.48999,3036.66992
2025-04-06 22:00:00,3035.04004,3038.04004,2992.13989,3028.80005
2025-04-06 22:05:00,3028.81006,3031.46997,2992.87012,3014.11011
2025-04-06 22:10:00,3014.12988,3032.58008,3014.12988,3031.96997
2025-04-06 22:15:00,3031.97998,3032.12988,3019.63989,3021.41992
2025-04-06 22:20:00,3021.42993,3023.22998,2998.81006,3012.55005
2025-04-06 22:25:00,3012.56006,3016.93994,3012.5,3015.17993
2025-04-06 22:30:00,3015.1499,3016.18994,3007.92993,3013.28003
2025-04-06 22:35:00,3013.20996,3020.53003,3012.70996,3019.97998
2025-04-06 22:40:00,3020.01001,3022.04004,3013.21997,3016.63989
2025-04-06 22:45:00,3016.65991,3017.57007,3011.96997,3015.57007
2025-04-06 22:50:00,3015.56006,3016.17993,3003.95996,3008.93994
2025-04-06 22:55:00,3008.92993,3011.30005,3007.79004,3009.94995
2025-04-06 23:00:00,3009.93994,3016.32007,3009.13989,3014.62988
2025-04-06 23:05:00,3014.6001,3017.29004,3012.62988,3013.15991
2025-04-06 23:10:00,3013.1499,3013.86011,3005.02002,3009.34009
2025-04-06 23:15:00,3009.3501,3009.3501,2998.5,2999.62988
2025-04-06 23:20:00,2999.62012,2999.72998,2988.57007,2992.47998
2025-04-06 23:25:00,2992.58008,2994.1001,2983.42993,2985.30005
2025-04-06 23:30:00,2985.43994,2988.07007,2978.09009,2980.96997
2025-04-06 23:35:00,2980.98999,2986.47998,2977.22998,2980.83008
2025-04-06 23:40:00,2980.81006,2990.84009,2980.81006,2987.77002
2025-04-06 23:45:00,2988.06006,2998.67993,2984.58008,2996.37988
2025-04-06 23:50:00,2996.38989,3000.05005,2989.61011,2993.48999
2025-04-06 23:55:00,2993.47998,3001.65991,2993.47998,3000.38989
2025-04-07 00:00:00,3005.02002,3009.76001,2999.59009,2999.61011
2025-04-07 00:05:00,2999.59009,3002.77002,2986.20996,2988.02002
2025-04-07 00:10:00,2988.12988,2988.47998,2971.1499,2981.63989
2025-04-07 00:15:00,2981.62988,2990.31006,2975.8999,2987.03003
2025-04-07 00:20:00,2987.1499,2991.21997,2981.96997,2983.95996
2025-04-07 00:25:00,2983.95996,2988.02002,2982.15991,2985.31006
2025-04-07 00:30:00,2985.33008,2988.87988,2979.8501,2985.54004
2025-04-07 00:35:00,2985.52002,2992.77002,2985.44995,2987.51001
2025-04-07 00:40:00,2987.73999,2989.82007,2980.48999,2983.07007
2025-04-07 00:45:00,2982.96997,2983.5,2973.34009,2981.44995
2025-04-07 00:50:00,2981.43994,2985.02002,2978.44995,2981.76001
2025-04-07 00:55:00,2981.77002,2988.82007,2978.71997,2979.06006
2025-04-07 01:00:00,2979.06006,2995.38989,2973.41992,2980.28003
2025-04-07 01:05:00,2980.23999,2995.28003,2972.25,2993.23999
2025-04-07 01:10:00,2993.26001,3008.96997,2992.1001,3006.78003
2025-04-07 01:15:00,3006.71997,3014.6499,3005.0,3013.23999
2025-04-07 01:20:00,3013.25,3020.30005,3010.23999,3019.22998
2025-04-07 01:25:00,3019.22998,3020.65991,3016.30005,3019.1499
2025-04-07 01:30:00,3019.13989,3030.8999,3016.41992,3028.94995
2025-04-07 01:35:00,3029.83008,3049.52002,3022.05005,3048.93994
2025-04-07 01:40:00,3048.88989,3055.33008,3038.54004,3052.17993
2025-04-07 01:45:00,3052.18994,3055.25,3045.0,3048.37988
2025-04-07 01:50:00,3048.37988,3048.37988,3037.04004,3042.04004
2025-04-07 01:55:00,3042.1001,3045.91992,3036.62988,3038.46997
2025-04-07 02:00:00,3038.48999,3046.15991,3036.22998,3046.15991
2025-04-07 02:05:00,3046.12988,3055.02002,3044.90991,3054.07007
2025-04-07 02:10:00,3054.08008,3055.62012,3046.88989,3053.02002
2025-04-07 02:15:00,3052.98999,3053.6499,3046.54004,3048.69995
2025-04-07 02:20:00,3048.71997,3052.30005,3044.07007,3044.6499
2025-04-07 02:25:00,3044.65991,3045.65991,3040.12988,3042.52002
2025-04-07 02:30:00,3042.62012,3045.08008,3033.04004,3036.16992
2025-04-07 02:35:00,3036.17993,3036.32007,3027.53003,3034.38989
2025-04-07 02:40:00,3034.37012,3037.1001,3032.44995,3032.55005
2025-04-07 02:45:00,3032.81006,3035.30005,3026.96997,3031.12988
2025-04-07 02:50:00,3031.08008,3035.61011,3030.46997,3035.19995
2025-04-07 02:55:00,3035.18994,3036.07007,3024.5,3026.22998
2025-04-07 03:00:00,3025.97998,3029.62012,3021.97998,3027.93994
2025-04-07 03:05:00,3027.93994,3030.30005,3023.63989,3026.09009
2025-04-07 03:10:00,3026.08008,3028.28003,3023.56006,3026.21997
2025-04-07 03:15:00,3026.19995,3031.52002,3025.66992,3030.80005
2025-04-07 03:20:00,3030.81006,3030.98999,3027.82007,3029.06006
2025-04-07 03:25:00,3029.08008,3030.6001,3027.45996,3030.09009
2025-04-07 03:30:00,3030.07007,3030.1001,3027.42993,3028.34009
2025-04-07 03:35:00,3028.34009,3030.06006,3026.8999,3029.3501
2025-04-07 03:40:00,3029.38989,3034.13989,3026.27002,3027.40991
2025-04-07 03:45:00,3027.3999,3029.21997,3018.12988,3019.80005
2025-04-07 03:50:00,3019.82007,3023.31006,3018.59009,3019.47998
2025-04-07 03:55:00,3019.51001,3019.57007,3017.26001,3019.05005
2025-04-07 04:00:00,3019.06006,3026.26001,3019.03003,3025.84009
2025-04-07 04:05:00,3025.8501,3028.0,3023.29004,3027.37988
2025-04-07 04:10:00,3027.3501,3031.94995,3026.3501,3027.26001
2025-04-07 04:15:00,3027.23999,3028.52002,3026.13989,3026.6001
2025-04-07 04:20:00,3026.6001,3028.11011,3023.90991,3027.62988
2025-04-07 04:25:00,3027.62012,3030.27002,3026.13989,3026.58008
2025-04-07 04:30:00,3026.59009,3030.63989,3025.30005,3027.8999
2025-04-07 04:35:00,3027.88989,3032.93994,3027.43994,3031.92993
2025-04-07 04:40:00,3031.94995,3031.95996,3027.42993,3028.04004
2025-04-07 04:45:00,3028.03003,3029.08008,3026.1499,3027.13989
2025-04-07 04:50:00,3027.15991,3029.80005,3026.29004,3029.53003
2025-04-07 04:55:00,3029.52002,3035.68994,3029.52002,3035.54004
2025-04-07 05:00:00,3035.55005,3037.65991,3031.58008,3031.87012
2025-04-07 05:05:00,3031.87988,3033.57007,3029.92993,3030.32007
2025-04-07 05:10:00,3030.30005,3030.61011,3025.05005,3029.63989
2025-04-07 05:15:00,3029.63989,3038.18994,3029.38989,3038.09009
2025-04-07 05:20:00,3038.1001,3039.93994,3035.37988,3038.77002
2025-04-07 05:25:00,3038.76001,3040.20996,3037.42993,3038.8501
2025-04-07 05:30:00,3038.8501,3044.61011,3038.8501,3039.86011
2025-04-07 05:35:00,3039.86011,3040.94995,3033.96997,3036.3999
2025-04-07 05:40:00,3036.3999,3040.44995,3035.66992,3039.32007
2025-04-07 05:45:00,3039.31006,3043.51001,3039.09009,3041.82007
2025-04-07 05:50:00,3041.84009,3041.84009,3034.11011,3034.57007
2025-04-07 05:55:00,3034.59009,3035.27002,3031.94995,3032.04004
2025-04-07 06:00:00,3032.03003,3033.48999,3028.65991,3030.17993
2025-04-07 06:05:00,3030.17993,3030.61011,3024.76001,3027.51001
2025-04-07 06:10:00,3027.53003,3029.78003,3022.38989,3027.02002
2025-04-07 06:15:00,3026.98999,3028.08008,3021.84009,3023.3999
2025-04-07 06:20:00,3023.41992,3025.42993,3019.32007,3021.31006
2025-04-07 06:25:00,3021.31006,3022.3501,3016.72998,3018.57007
2025-04-07 06:30:00,3018.57007,3025.02002,3018.57007,3024.63989
2025-04-07 06:35:00,3024.67993,3031.3501,3024.56006,3029.3999
2025-04-07 06:40:00,3029.41992,3030.03003,3026.84009,3027.88989
2025-04-07 06:45:00,3027.8999,3027.8999,3025.15991,3025.17993
2025-04-07 06:50:00,3025.18994,3026.78003,3018.83008,3025.87988
2025-04-07 06:55:00,3025.77002,3030.78003,3025.17993,3029.40991
2025-04-07 07:00:00,3028.57007,3030.81006,3024.25,3024.67993
